,resultId,number,grid,position,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,round,date,time_hour,circuitRef,country,lat,status,driverRef,dob,nationality,constructorRef
36,37,19,21,15,15,0.0,55,\N,\N,55,18,1:38.171,203.265,3,06/04/08,11:30:00,catalunya,Spain,41.57,+2 Laps,vettel,1987-07-03,German,red_bull
37,38,18,19,16,16,0.0,54,\N,\N,53,19,1:38.504,202.578,3,06/04/08,11:30:00,catalunya,Spain,41.57,+3 Laps,piquet_jr,1985-07-25,Brazilian,red_bull
38,39,8,22,17,17,0.0,54,\N,\N,19,17,1:37.711,204.222,3,06/04/08,11:30:00,catalunya,Spain,41.57,+3 Laps,bourdais,1979-02-28,French,renault
39,40,15,15,\N,18,0.0,39,\N,\N,37,14,1:36.870,205.995,3,06/04/08,11:30:00,catalunya,Spain,41.57,Gearbox,fisichella,1973-01-14,Italian,ferrari
40,41,2,1,\N,19,0.0,30,\N,\N,15,5,1:35.914,208.048,3,06/04/08,11:30:00,catalunya,Spain,41.57,Radiator,coulthard,1971-03-27,British,toyota
41,42,20,20,\N,20,0.0,5,\N,\N,3,20,1:40.330,198.891,3,06/04/08,11:30:00,catalunya,Spain,41.57,Electrical,webber,1976-08-27,Australian,honda
42,43,12,10,\N,21,0.0,1,\N,\N,\N,\N,\N,\N,3,06/04/08,11:30:00,catalunya,Spain,41.57,Engine,sato,1977-01-28,Japanese,super_aguri
43,44,14,18,\N,22,0.0,0,\N,\N,\N,\N,\N,\N,3,06/04/08,11:30:00,catalunya,Spain,41.57,Radiator,raikkonen,1979-10-17,Finnish,ferrari
44,45,2,2,1,1,10.0,57,1:31:06.970,5466970,38,3,1:33.600,208.153,4,27/04/08,12:00:00,istanbul,Turkey,40.9517,Disqualified,coulthard,1971-03-27,British,toyota
45,46,1,4,2,2,8.0,57,+3.339,5470309,35,4,1:33.709,207.911,4,27/04/08,12:00:00,istanbul,Turkey,40.9517,Disqualified,kubica,1984-12-07,Polish,toyota
46,47,4,1,3,3,6.0,57,+4.998,5471968,55,5,1:33.775,207.765,4,27/04/08,12:00:00,istanbul,Turkey,40.9517,Disqualified,glock,1982-03-18,German,williams
47,48,3,6,4,4,5.0,57,+8.409,5475379,48,2,1:33.565,208.231,4,27/04/08,12:00:00,istanbul,Turkey,40.9517,Disqualified,rosberg,1985-06-27,German,williams
48,49,23,5,5,5,4.0,57,+26.789,5493759,49,1,1:33.193,209.062,4,27/04/08,12:00:00,istanbul,Turkey,40.9517,Disqualified,nakajima,1985-01-11,Japanese,bmw_sauber
49,50,11,7,6,6,3.0,57,+41.314,5508284,45,7,1:34.204,206.819,4,27/04/08,12:00:00,istanbul,Turkey,40.9517,Disqualified,sutil,1983-01-11,German,super_aguri
50,51,10,11,7,7,2.0,57,+45.473,5512443,51,8,1:34.305,206.597,4,27/04/08,12:00:00,istanbul,Turkey,40.9517,Disqualified,button,1980-01-19,British,force_india
51,52,7,8,8,8,1.0,57,+55.889,5522859,57,6,1:34.072,207.109,4,27/04/08,12:00:00,istanbul,Turkey,40.9517,Disqualified,alonso,1981-07-29,Spanish,renault
52,53,12,13,9,9,0.0,57,+1:09.500,5536470,56,9,1:34.807,205.503,4,27/04/08,12:00:00,istanbul,Turkey,40.9517,Disqualified,sato,1977-01-28,Japanese,super_aguri
53,54,5,10,10,10,0.0,57,+1:17.181,5544151,35,13,1:35.194,204.668,4,27/04/08,12:00:00,istanbul,Turkey,40.9517,Disqualified,kovalainen,1981-10-19,Finnish,toro_rosso
54,55,17,12,11,11,0.0,57,+1:17.862,5544832,40,10,1:34.855,205.399,4,27/04/08,12:00:00,istanbul,Turkey,40.9517,Disqualified,ralf_schumacher,1975-06-30,German,spyker
55,56,21,18,12,12,0.0,56,\N,\N,56,11,1:35.057,204.963,4,27/04/08,12:00:00,istanbul,Turkey,40.9517,+2 Laps,barrichello,1972-05-23,Brazilian,honda
56,57,22,3,13,13,0.0,56,\N,\N,25,19,1:35.520,203.969,4,27/04/08,12:00:00,istanbul,Turkey,40.9517,+2 Laps,heidfeld,1977-05-10,German,bmw_sauber
57,58,8,16,14,14,0.0,56,\N,\N,30,17,1:35.433,204.155,4,27/04/08,12:00:00,istanbul,Turkey,40.9517,+2 Laps,bourdais,1979-02-28,French,renault
58,59,14,15,15,15,0.0,56,\N,\N,33,15,1:35.333,204.369,4,27/04/08,12:00:00,istanbul,Turkey,40.9517,+2 Laps,raikkonen,1979-10-17,Finnish,ferrari
59,60,19,21,16,16,0.0,56,\N,\N,45,14,1:35.324,204.389,4,27/04/08,12:00:00,istanbul,Turkey,40.9517,+2 Laps,vettel,1987-07-03,German,red_bull
60,61,18,22,17,17,0.0,56,\N,\N,56,20,1:35.891,203.180,4,27/04/08,12:00:00,istanbul,Turkey,40.9517,+2 Laps,piquet_jr,1985-07-25,Brazilian,red_bull
61,62,9,17,18,18,0.0,56,\N,\N,43,16,1:35.351,204.331,4,27/04/08,12:00:00,istanbul,Turkey,40.9517,+2 Laps,trulli,1974-07-13,Italian,force_india
62,63,20,20,19,19,0.0,56,\N,\N,55,18,1:35.442,204.136,4,27/04/08,12:00:00,istanbul,Turkey,40.9517,+3 Laps,webber,1976-08-27,Australian,honda
63,64,6,14,\N,20,0.0,40,\N,\N,31,12,1:35.129,204.808,4,27/04/08,12:00:00,istanbul,Turkey,40.9517,Transmission,massa,1981-04-25,Brazilian,toro_rosso
64,65,16,9,\N,21,0.0,19,\N,\N,11,21,1:36.125,202.686,4,27/04/08,12:00:00,istanbul,Turkey,40.9517,Engine,davidson,1979-04-18,British,spyker
65,66,15,19,\N,22,0.0,0,\N,\N,\N,\N,\N,\N,4,27/04/08,12:00:00,istanbul,Turkey,40.9517,Gearbox,fisichella,1973-01-14,Italian,ferrari
66,67,1,1,1,1,10.0,66,1:38:19.051,5899051,46,1,1:21.670,205.191,5,11/05/08,12:00:00,monaco,Monaco,43.7347,Disqualified,kubica,1984-12-07,Polish,toyota
67,68,2,3,2,2,8.0,66,+3.228,5902279,45,2,1:21.801,204.863,5,11/05/08,12:00:00,monaco,Monaco,43.7347,Disqualified,coulthard,1971-03-27,British,toyota
68,69,22,5,3,3,6.0,66,+4.187,5903238,20,3,1:22.017,204.323,5,11/05/08,12:00:00,monaco,Monaco,43.7347,Disqualified,heidfeld,1977-05-10,German,bmw_sauber
69,70,4,4,4,4,5.0,66,+5.694,5904745,20,4,1:22.106,204.102,5,11/05/08,12:00:00,monaco,Monaco,43.7347,Disqualified,glock,1982-03-18,German,williams
70,71,10,7,5,5,4.0,66,+35.938,5934989,19,8,1:22.564,202.969,5,11/05/08,12:00:00,monaco,Monaco,43.7347,Disqualified,button,1980-01-19,British,force_india
71,72,16,13,6,6,3.0,66,+53.010,5952061,66,5,1:22.353,203.489,5,11/05/08,12:00:00,monaco,Monaco,43.7347,Disqualified,davidson,1979-04-18,British,spyker
72,73,8,12,7,7,2.0,66,+58.244,5957295,48,15,1:23.549,200.576,5,11/05/08,12:00:00,monaco,Monaco,43.7347,Disqualified,bourdais,1979-02-28,French,renault
73,74,11,8,8,8,1.0,66,+59.435,5958486,45,10,1:22.758,202.494,5,11/05/08,12:00:00,monaco,Monaco,43.7347,Disqualified,sutil,1983-01-11,German,super_aguri
74,75,3,9,9,9,0.0,66,+1:03.073,5962124,21,7,1:22.519,203.080,5,11/05/08,12:00:00,monaco,Monaco,43.7347,Disqualified,rosberg,1985-06-27,German,williams
75,76,21,19,10,10,0.0,65,\N,\N,40,14,1:23.439,200.841,5,11/05/08,12:00:00,monaco,Monaco,43.7347,+2 Laps,barrichello,1972-05-23,Brazilian,honda
76,77,12,14,11,11,0.0,65,\N,\N,57,12,1:23.007,201.886,5,11/05/08,12:00:00,monaco,Monaco,43.7347,+2 Laps,sato,1977-01-28,Japanese,super_aguri
77,78,9,17,12,12,0.0,65,\N,\N,57,11,1:22.842,202.288,5,11/05/08,12:00:00,monaco,Monaco,43.7347,+2 Laps,trulli,1974-07-13,Italian,force_india
78,79,18,22,13,13,0.0,65,\N,\N,34,17,1:24.617,198.045,5,11/05/08,12:00:00,monaco,Monaco,43.7347,+2 Laps,piquet_jr,1985-07-25,Brazilian,red_bull
79,80,7,15,\N,14,0.0,41,\N,\N,20,13,1:23.319,201.130,5,11/05/08,12:00:00,monaco,Monaco,43.7347,Gearbox,alonso,1981-07-29,Spanish,renault
80,81,5,2,\N,15,0.0,34,\N,\N,15,9,1:22.683,202.677,5,11/05/08,12:00:00,monaco,Monaco,43.7347,Gearbox,kovalainen,1981-10-19,Finnish,toro_rosso
81,82,17,11,\N,16,0.0,34,\N,\N,21,16,1:23.858,199.837,5,11/05/08,12:00:00,monaco,Monaco,43.7347,Engine,ralf_schumacher,1975-06-30,German,spyker
82,83,23,6,\N,17,0.0,21,\N,\N,19,6,1:22.453,203.243,5,11/05/08,12:00:00,monaco,Monaco,43.7347,Collision,nakajima,1985-01-11,Japanese,bmw_sauber
83,84,19,21,\N,18,0.0,8,\N,\N,6,20,1:26.864,192.922,5,11/05/08,12:00:00,monaco,Monaco,43.7347,Suspension,vettel,1987-07-03,German,red_bull
84,85,14,16,\N,19,0.0,7,\N,\N,6,19,1:25.999,194.862,5,11/05/08,12:00:00,monaco,Monaco,43.7347,Engine,raikkonen,1979-10-17,Finnish,ferrari
85,86,6,10,\N,20,0.0,6,\N,\N,6,18,1:25.444,196.128,5,11/05/08,12:00:00,monaco,Monaco,43.7347,Engine,massa,1981-04-25,Brazilian,toro_rosso
86,87,20,20,\N,21,0.0,0,\N,\N,\N,\N,\N,\N,5,11/05/08,12:00:00,monaco,Monaco,43.7347,Engine,webber,1976-08-27,Australian,honda
87,88,15,18,\N,22,0.0,0,\N,\N,\N,\N,\N,\N,5,11/05/08,12:00:00,monaco,Monaco,43.7347,Engine,fisichella,1973-01-14,Italian,ferrari
88,89,2,1,1,1,10.0,58,1:26:49.451,5209451,16,3,1:26.666,221.734,6,25/05/08,12:00:00,villeneuve,Canada,45.5,Disqualified,coulthard,1971-03-27,British,toyota
89,90,22,3,2,2,8.0,58,+3.779,5213230,31,2,1:26.529,222.085,6,25/05/08,12:00:00,villeneuve,Canada,45.5,Disqualified,heidfeld,1977-05-10,German,bmw_sauber
90,91,1,4,3,3,6.0,58,+4.271,5213722,20,1,1:26.506,222.144,6,25/05/08,12:00:00,villeneuve,Canada,45.5,Disqualified,kubica,1984-12-07,Polish,toyota
91,92,4,5,4,4,5.0,58,+21.945,5231396,17,4,1:26.780,221.442,6,25/05/08,12:00:00,villeneuve,Canada,45.5,Disqualified,glock,1982-03-18,German,williams
92,93,3,9,5,5,4.0,58,+38.741,5248192,20,5,1:27.219,220.328,6,25/05/08,12:00:00,villeneuve,Canada,45.5,Disqualified,rosberg,1985-06-27,German,williams
93,94,5,7,6,6,3.0,58,+53.724,5263175,57,6,1:27.280,220.174,6,25/05/08,12:00:00,villeneuve,Canada,45.5,Disqualified,kovalainen,1981-10-19,Finnish,toro_rosso
94,95,10,6,7,7,2.0,58,+1:04.229,5273680,14,7,1:27.630,219.294,6,25/05/08,12:00:00,villeneuve,Canada,45.5,Disqualified,button,1980-01-19,British,force_india
95,96,7,11,8,8,1.0,58,+1:11.406,5280857,55,9,1:27.795,218.882,6,25/05/08,12:00:00,villeneuve,Canada,45.5,Disqualified,alonso,1981-07-29,Spanish,renault
96,97,9,10,9,9,0.0,58,+1:15.270,5284721,41,12,1:27.966,218.457,6,25/05/08,12:00:00,villeneuve,Canada,45.5,Disqualified,trulli,1974-07-13,Italian,force_india
97,98,11,8,10,10,0.0,58,+1:16.344,5285795,52,11,1:27.926,218.556,6,25/05/08,12:00:00,villeneuve,Canada,45.5,Disqualified,sutil,1983-01-11,German,super_aguri
98,99,16,13,11,11,0.0,57,\N,\N,57,13,1:27.998,218.377,6,25/05/08,12:00:00,villeneuve,Canada,45.5,+2 Laps,davidson,1979-04-18,British,spyker
99,100,23,2,12,12,0.0,57,\N,\N,55,8,1:27.640,219.269,6,25/05/08,12:00:00,villeneuve,Canada,45.5,+2 Laps,nakajima,1985-01-11,Japanese,bmw_sauber
100,101,12,15,13,13,0.0,57,\N,\N,28,16,1:28.303,217.623,6,25/05/08,12:00:00,villeneuve,Canada,45.5,+2 Laps,sato,1977-01-28,Japanese,super_aguri
101,102,17,12,14,14,0.0,57,\N,\N,56,14,1:28.017,218.330,6,25/05/08,12:00:00,villeneuve,Canada,45.5,+2 Laps,ralf_schumacher,1975-06-30,German,spyker
102,103,6,17,15,15,0.0,57,\N,\N,40,10,1:27.867,218.703,6,25/05/08,12:00:00,villeneuve,Canada,45.5,+2 Laps,massa,1981-04-25,Brazilian,toro_rosso
103,104,20,19,16,16,0.0,57,\N,\N,35,18,1:28.780,216.454,6,25/05/08,12:00:00,villeneuve,Canada,45.5,+2 Laps,webber,1976-08-27,Australian,honda
104,105,15,14,17,17,0.0,57,\N,\N,38,15,1:28.180,217.926,6,25/05/08,12:00:00,villeneuve,Canada,45.5,+2 Laps,fisichella,1973-01-14,Italian,ferrari
105,106,14,18,\N,18,0.0,24,\N,\N,19,17,1:28.745,216.539,6,25/05/08,12:00:00,villeneuve,Canada,45.5,Brakes,raikkonen,1979-10-17,Finnish,ferrari
106,107,8,16,\N,19,0.0,1,\N,\N,\N,\N,\N,\N,6,25/05/08,12:00:00,villeneuve,Canada,45.5,Engine,bourdais,1979-02-28,French,renault
107,108,21,20,\N,20,0.0,0,\N,\N,\N,\N,\N,\N,6,25/05/08,12:00:00,villeneuve,Canada,45.5,Engine,barrichello,1972-05-23,Brazilian,honda
108,109,22,3,1,1,10.0,76,2:00:42.742,7242742,71,6,1:18.510,153.152,7,08/06/08,17:00:00,magny_cours,France,46.8642,Disqualified,heidfeld,1977-05-10,German,bmw_sauber
109,110,4,5,2,2,8.0,76,+3.064,7245806,75,5,1:17.933,154.286,7,08/06/08,17:00:00,magny_cours,France,46.8642,Disqualified,glock,1982-03-18,German,williams
110,111,2,1,3,3,6.0,76,+4.811,7247553,76,4,1:17.886,154.379,7,08/06/08,17:00:00,magny_cours,France,46.8642,Disqualified,coulthard,1971-03-27,British,toyota
111,112,10,9,4,4,5.0,76,+19.295,7262037,74,8,1:19.036,152.133,7,08/06/08,17:00:00,magny_cours,France,46.8642,Disqualified,button,1980-01-19,British,force_india
112,113,15,19,5,5,4.0,76,+24.657,7267399,74,7,1:18.787,152.614,7,08/06/08,17:00:00,magny_cours,France,46.8642,Disqualified,fisichella,1973-01-14,Italian,ferrari
113,114,17,14,6,6,3.0,76,+28.408,7271150,75,9,1:19.574,151.104,7,08/06/08,17:00:00,magny_cours,France,46.8642,Disqualified,ralf_schumacher,1975-06-30,German,spyker
114,115,8,13,7,7,2.0,76,+30.180,7272922,75,13,1:19.910,150.469,7,08/06/08,17:00:00,magny_cours,France,46.8642,Disqualified,bourdais,1979-02-28,French,renault
115,116,23,4,8,8,1.0,76,+33.191,7275933,74,2,1:17.282,155.586,7,08/06/08,17:00:00,magny_cours,France,46.8642,Disqualified,nakajima,1985-01-11,Japanese,bmw_sauber
116,117,1,2,9,9,0.0,76,+33.792,7276534,74,1,1:16.689,156.789,7,08/06/08,17:00:00,magny_cours,France,46.8642,Disqualified,kubica,1984-12-07,Polish,toyota
117,118,5,7,10,10,0.0,75,\N,\N,73,3,1:17.869,154.413,7,08/06/08,17:00:00,magny_cours,France,46.8642,+2 Laps,kovalainen,1981-10-19,Finnish,toro_rosso
118,119,16,11,11,11,0.0,75,\N,\N,74,10,1:19.582,151.089,7,08/06/08,17:00:00,magny_cours,France,46.8642,+2 Laps,davidson,1979-04-18,British,spyker
119,120,12,10,12,12,0.0,75,\N,\N,75,11,1:19.618,151.021,7,08/06/08,17:00:00,magny_cours,France,46.8642,+2 Laps,sato,1977-01-28,Japanese,super_aguri
120,121,11,8,13,13,0.0,75,\N,\N,75,12,1:19.830,150.620,7,08/06/08,17:00:00,magny_cours,France,46.8642,+2 Laps,sutil,1983-01-11,German,super_aguri
121,122,3,12,14,14,0.0,72,\N,\N,72,14,1:20.251,149.829,7,08/06/08,17:00:00,magny_cours,France,46.8642,+5 Laps,rosberg,1985-06-27,German,williams
122,123,20,18,\N,15,0.0,67,\N,\N,60,16,1:22.039,146.564,7,08/06/08,17:00:00,magny_cours,France,46.8642,Engine,webber,1976-08-27,Australian,honda
123,124,7,6,\N,16,0.0,59,\N,\N,58,15,1:21.270,147.951,7,08/06/08,17:00:00,magny_cours,France,46.8642,Collision,alonso,1981-07-29,Spanish,renault
124,125,6,17,\N,17,0.0,47,\N,\N,40,17,1:31.187,131.860,7,08/06/08,17:00:00,magny_cours,France,46.8642,Collision,massa,1981-04-25,Brazilian,toro_rosso
125,126,21,20,\N,18,0.0,36,\N,\N,33,18,1:32.849,129.500,7,08/06/08,17:00:00,magny_cours,France,46.8642,Transmission,barrichello,1972-05-23,Brazilian,honda
126,127,9,15,\N,19,0.0,7,\N,\N,7,20,1:42.112,117.753,7,08/06/08,17:00:00,magny_cours,France,46.8642,Collision,trulli,1974-07-13,Italian,force_india
127,128,14,16,\N,20,0.0,7,\N,\N,7,19,1:41.150,118.872,7,08/06/08,17:00:00,magny_cours,France,46.8642,Engine,raikkonen,1979-10-17,Finnish,ferrari
128,129,4,2,1,1,10.0,70,1:36:24.227,5784227,47,4,1:17.539,202.473,8,22/06/08,12:00:00,silverstone,UK,52.0786,Disqualified,glock,1982-03-18,German,williams
129,130,3,8,2,2,8.0,70,+16.495,5800722,25,2,1:17.430,202.758,8,22/06/08,12:00:00,silverstone,UK,52.0786,Disqualified,rosberg,1985-06-27,German,williams
130,131,9,13,3,3,6.0,70,+23.352,5807579,36,7,1:18.085,201.057,8,22/06/08,12:00:00,silverstone,UK,52.0786,Disqualified,trulli,1974-07-13,Italian,force_india
131,132,12,11,4,4,5.0,70,+42.627,5826854,31,17,1:19.087,198.510,8,22/06/08,12:00:00,silverstone,UK,52.0786,Disqualified,sato,1977-01-28,Japanese,super_aguri
132,133,2,6,5,5,4.0,70,+43.934,5828161,11,6,1:18.006,201.261,8,22/06/08,12:00:00,silverstone,UK,52.0786,Disqualified,coulthard,1971-03-27,British,toyota
133,134,11,14,6,6,3.0,70,+47.775,5832002,38,15,1:18.870,199.056,8,22/06/08,12:00:00,silverstone,UK,52.0786,Disqualified,sutil,1983-01-11,German,super_aguri
134,135,17,9,7,7,2.0,70,+53.597,5837824,35,10,1:18.301,200.503,8,22/06/08,12:00:00,silverstone,UK,52.0786,Disqualified,ralf_schumacher,1975-06-30,German,spyker
135,136,15,19,8,8,1.0,70,+54.120,5838347,33,12,1:18.532,199.913,8,22/06/08,12:00:00,silverstone,UK,52.0786,Disqualified,fisichella,1973-01-14,Italian,ferrari
136,137,23,7,9,9,0.0,70,+54.433,5838660,62,11,1:18.462,200.091,8,22/06/08,12:00:00,silverstone,UK,52.0786,Disqualified,nakajima,1985-01-11,Japanese,bmw_sauber
137,138,7,5,10,10,0.0,70,+54.749,5838976,14,5,1:17.977,201.336,8,22/06/08,12:00:00,silverstone,UK,52.0786,Disqualified,alonso,1981-07-29,Spanish,renault
138,139,16,20,11,11,0.0,70,+1:07.540,5851767,58,19,1:19.352,197.847,8,22/06/08,12:00:00,silverstone,UK,52.0786,Disqualified,davidson,1979-04-18,British,spyker
139,140,10,10,12,12,0.0,70,+1:11.299,5855526,51,8,1:18.201,200.759,8,22/06/08,12:00:00,silverstone,UK,52.0786,Disqualified,button,1980-01-19,British,force_india
140,141,14,18,13,13,0.0,69,\N,\N,34,13,1:18.620,199.689,8,22/06/08,12:00:00,silverstone,UK,52.0786,+2 Laps,raikkonen,1979-10-17,Finnish,ferrari
141,142,21,17,\N,14,0.0,51,\N,\N,41,16,1:19.066,198.563,8,22/06/08,12:00:00,silverstone,UK,52.0786,Radiator,barrichello,1972-05-23,Brazilian,honda
142,143,8,12,\N,15,0.0,46,\N,\N,30,14,1:18.784,199.273,8,22/06/08,12:00:00,silverstone,UK,52.0786,Collision,bourdais,1979-02-28,French,renault
143,144,5,4,\N,16,0.0,44,\N,\N,16,9,1:18.225,200.697,8,22/06/08,12:00:00,silverstone,UK,52.0786,Radiator,kovalainen,1981-10-19,Finnish,toro_rosso
144,145,6,15,\N,17,0.0,43,\N,\N,16,18,1:19.239,198.129,8,22/06/08,12:00:00,silverstone,UK,52.0786,Differential,massa,1981-04-25,Brazilian,toro_rosso
145,146,1,3,\N,18,0.0,19,\N,\N,14,1,1:17.387,202.871,8,22/06/08,12:00:00,silverstone,UK,52.0786,Engine,kubica,1984-12-07,Polish,toyota
146,147,22,1,\N,19,0.0,19,\N,\N,4,3,1:17.506,202.559,8,22/06/08,12:00:00,silverstone,UK,52.0786,Engine,heidfeld,1977-05-10,German,bmw_sauber
